Attributes,,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,,MSFT,CRM,GE,MMM,MSFT,CRM,GE,MMM,MSFT,CRM,GE,MMM,MSFT,CRM,GE,MMM,MSFT,CRM,GE,MMM,MSFT,CRM,GE,MMM
Ticker,Date,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2015-01-02,41.748565673828125,59.2400016784668,20.67449951171875,140.66586303710938,46.7599983215332,59.2400016784668,24.096153259277344,164.05999755859375,47.41999816894531,60.43000030517578,24.480770111083984,165.0800018310547,46.540000915527344,58.5099983215332,23.913461685180664,162.72999572753906,46.65999984741211,59.900001525878906,24.365385055541992,164.7100067138672,27913900.0,2796400.0,42557600.0,2116400.0
MSFT,2015-01-05,41.36465835571289,58.16999816894531,20.295000076293945,137.49349975585938,46.33000183105469,58.16999816894531,23.653846740722656,160.36000061035156,46.72999954223633,59.2400016784668,24.048076629638672,163.63999938964844,46.25,57.84000015258789,23.576923370361328,160.0800018310547,46.369998931884766,58.599998474121094,24.048076629638672,163.0,39673900.0,3688200.0,43714500.0,3692900.0
MSFT,2015-01-06,40.757530212402344,57.20000076293945,19.857749938964844,136.02731323242188,45.650001525878906,57.20000076293945,23.144229888916016,158.64999389648438,46.75,58.54999923706055,23.625,161.3699951171875,45.540000915527344,56.54999923706055,23.009614944458008,157.74000549316406,46.380001068115234,58.18000030517578,23.519229888916016,160.82000732421875,36447900.0,3174900.0,66310400.0,3532000.0
MSFT,2015-01-07,41.27536392211914,56.93000030517578,19.86600112915039,137.01336669921875,46.22999954223633,56.93000030517578,23.153846740722656,159.8000030517578,46.459999084472656,57.95000076293945,23.451923370361328,160.27999877929688,45.4900016784668,56.599998474121094,23.05769157409668,158.94000244140625,45.97999954223633,57.790000915527344,23.278846740722656,159.89999389648438,29114100.0,4284300.0,45388200.0,3081300.0
MSFT,2015-01-08,42.48960876464844,58.59000015258789,20.105247497558594,140.2971954345703,47.59000015258789,58.59000015258789,23.43269157409668,163.6300048828125,47.75,58.779998779296875,23.44230842590332,163.69000244140625,46.720001220703125,57.16999816894531,23.201923370361328,160.52000427246094,46.75,57.33000183105469,23.384614944458008,160.64999389648438,29645200.0,3756600.0,44953300.0,3142900.0
MSFT,2015-01-09,42.132476806640625,58.15999984741211,19.82475471496582,138.57383728027344,47.189998626708984,58.15999984741211,23.105770111083984,161.6199951171875,47.81999969482422,59.5,23.586538314819336,164.0,46.900001525878906,57.77000045776367,23.028846740722656,161.27000427246094,47.61000061035156,59.15999984741211,23.576923370361328,163.85000610351562,23944200.0,6875300.0,44857400.0,2378600.0
MSFT,2015-01-12,41.605709075927734,57.72999954223633,19.78350067138672,137.81932067871094,46.599998474121094,57.72999954223633,23.05769157409668,160.74000549316406,47.540000915527344,58.599998474121094,23.211538314819336,162.38999938964844,46.36000061035156,57.52000045776367,22.855770111083984,160.02000427246094,47.41999816894531,58.45000076293945,23.144229888916016,162.38999938964844,23651900.0,2724500.0,44585900.0,2149200.0
MSFT,2015-01-13,41.39142990112305,57.970001220703125,19.68450164794922,137.71641540527344,46.36000061035156,57.970001220703125,22.94230842590332,160.6199951171875,47.90999984741211,59.540000915527344,23.394229888916016,164.3800048828125,46.060001373291016,57.29999923706055,22.721153259277344,159.4499969482422,46.970001220703125,58.38999938964844,23.326923370361328,162.22999572753906,35270600.0,3509100.0,42819700.0,2703000.0
